name,postal,corn_2000,corn_2001,corn_2002,corn_2003,corn_2004,corn_2005,corn_2006,corn_2007,corn_2008,corn_2009,corn_2010,corn_2011,corn_2012,corn_2013,soybean_2000,soybean_2001,soybean_2002,soybean_2003,soybean_2004,soybean_2005,soybean_2006,soybean_2007,soybean_2008,soybean_2009,soybean_2010,soybean_2011,soybean_2012,soybean_2013,wheat_2000,wheat_2001,wheat_2002,wheat_2003,wheat_2004,wheat_2005,wheat_2006,wheat_2007,wheat_2008,wheat_2009,wheat_2010,wheat_2011,wheat_2012,wheat_2013
Alabama,AL,0.010570439,0.010631338,0.015930631,0.014157014,0.019102873,0.012563486,0.012950699,0.020685435,0.028044147,0.021015067,0.023455896,0.024456903,0.017195582,0.009411012,0.010570439,0.015210991,0.015527324,0.026455026,0.021932928,0.013766373,0.010301692,0.020073439,0.059797358,0.0870341,0.044647709,0.037351086,0.086607018,0.07900128,0.011663933,0.009649984,0.00907441,0.007865008,0.010046696,0.005880781,0.008388521,0.013953488,0.053374344,0.018933386,0.012950552,0.049053959,0.02551377,0.058706786
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,0.006860707,0.006683915,0.005524862,0.004148629,0.003733084,0.002825699,0.002890173,0.003314665,0.003498072,0.003017642,0.003747372,0.004738106,0.004241139,0.002693966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025987526,0.031047865,0.034727703,0.042388167,0.041841655,0.024092802,0.023534269,0.035432621,0.07902054,0.050371402,0.023672425,0.031609009,0.034686459,0.031856142
Arkansas,AR,0.007608286,0.010095141,0.013308824,0.013007698,0.015908384,0.009242619,0.009184956,0.021697367,0.026149366,0.01657553,0.014609765,0.019328643,0.019023926,0.019129875,0.120677966,0.124046772,0.149191176,0.1855588,0.139444502,0.112451861,0.112829933,0.127773383,0.18342795,0.206732741,0.190727925,0.197152154,0.26894466,0.234755494,0.061318267,0.053598664,0.049558824,0.029147863,0.039952327,0.010115533,0.017354733,0.035371228,0.06482925,0.013875598,0.006664104,0.031843591,0.025950587,0.046352207
California,CA,0.002506194,0.002297292,0.002159708,0.001615982,0.001696421,0.001127055,0.001146551,0.002020856,0.003173113,0.002167994,0.002108824,0.002123846,0.001334349,0.000831639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006773884,0.007597669,0.010949859,0.008029011,0.012117295,0.005363945,0.006483943,0.01030549,0.018107789,0.009721831,0.008471908,0.01530274,0.008298161,0.010231216
Colorado,CO,0.090420279,0.085399449,0.082265749,0.067946,0.094422827,0.085764706,0.091981604,0.077049548,0.0886275,0.075404506,0.082567074,0.094579246,0.067811537,0.038495822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131460551,0.114854842,0.115828481,0.13633828,0.15460441,0.134352941,0.100579884,0.247440401,0.194867279,0.159712007,0.188562791,0.206763036,0.155548217,0.131532033
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,DE,0.072901325,0.075907591,0.07043407,0.069640063,0.0891445,0.065068493,0.093267882,0.082264957,0.081742739,0.06212766,0.076222038,0.095019428,0.058731646,0.031641397,0.128129602,0.094389439,0.08026208,0.169796557,0.127965492,0.066438356,0.087657784,0.091880342,0.108298755,0.160425532,0.138773819,0.130695867,0.180880975,0.13744232,0.03460972,0.037623762,0.062244062,0.027386541,0.042415528,0.041780822,0.04628331,0.080128205,0.104149378,0.029361702,0.034382767,0.080890145,0.062792877,0.081740277
Florida,FL,0.000564865,0.000473485,0.000743347,0.000759013,0.000814801,0.000469363,0.000621432,0.000786674,0.001035503,0.000825528,0.00066808,0.000868874,0.00083717,0.000689386,0.000235361,0.000236742,0.000297339,0.000521822,0.000575153,0.000213347,0.000116518,0.000307829,0.001449704,0.002000318,0.001103785,0.00054615,0.001501982,0.001723464,0.000282433,0.000236742,0.000198226,0.000332068,0.000718942,0.000341355,0.000194197,0.000410439,0.000857988,0.000349262,0.000232376,0.00044685,0.000443208,0.001011099
Georgia,GA,0.013855858,0.013242994,0.019174757,0.015864023,0.01756546,0.010037235,0.011860812,0.028430392,0.025503356,0.021654322,0.017562171,0.020228179,0.01827735,0.014426318,0.006514321,0.007699415,0.00788835,0.019074599,0.014610523,0.007366035,0.006362422,0.023556611,0.031817052,0.04483519,0.01742603,0.005739483,0.024882717,0.021100175,0.014889877,0.01806796,0.01723301,0.018035883,0.017401297,0.011251417,0.009740005,0.021182204,0.046035297,0.011816588,0.005717916,0.02288794,0.015049728,0.033200755
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,ID,0.005847953,0.005387796,0.004139274,0.004494671,0.006229037,0.005914468,0.005911824,0.007677689,0.010786106,0.007603687,0.008703704,0.010695187,0.008991651,0.005559846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223874905,0.199724345,0.228512296,0.193399255,0.28473886,0.237602366,0.201603206,0.269783352,0.244058501,0.197772657,0.210246914,0.253208556,0.191164327,0.194208494
Illinois,IL,0.251716468,0.248757857,0.25577296,0.229366239,0.265956886,0.254146706,0.282916498,0.315328049,0.298692962,0.225856293,0.212818853,0.263201408,0.168391014,0.101298406,0.288817974,0.278928465,0.280774429,0.34088326,0.283850735,0.254202088,0.2598339,0.248268952,0.294045143,0.329253928,0.352751521,0.292019511,0.370521297,0.38721278,0.025755085,0.018377731,0.020388977,0.024381664,0.031940125,0.01996511,0.031078219,0.032044515,0.034999872,0.016720464,0.007756053,0.026432342,0.014280178,0.035848128
Indiana,IN,0.21785174,0.228728225,0.22074675,0.180885084,0.231197641,0.195786045,0.236846529,0.25907408,0.246691467,0.175401433,0.172661028,0.227912828,0.127730351,0.085683206,0.285173979,0.261252643,0.274863874,0.356715494,0.280572846,0.281286579,0.264077996,0.26344103,0.294352384,0.348841467,0.345040887,0.283105393,0.373472005,0.365262321,0.023798441,0.021095559,0.017279698,0.02480916,0.029952731,0.027075169,0.019709195,0.028701623,0.028497351,0.018777133,0.011738794,0.023132178,0.015269929,0.027863777
Iowa,IA,0.227575287,0.213910208,0.241936287,0.226143633,0.252715526,0.208668829,0.256680208,0.256356209,0.264005544,0.203237627,0.187057958,0.230838017,0.152268911,0.109554228,0.257983169,0.251834359,0.256197113,0.281593241,0.252573538,0.23926603,0.216894585,0.253739588,0.248510489,0.284780984,0.293681527,0.249434265,0.298523735,0.266148578,0.000381198,0.000449805,0.000447984,0.00053108,0.000757271,0.000385584,0.000476817,0.000639619,0.000589598,0.000241074,0.000170683,0.000282867,0.000184643,0.000363055
Kansas,KS,0.119923431,0.097098435,0.098962963,0.071858902,0.102980473,0.088961958,0.119256251,0.112344583,0.109010271,0.09489554,0.109576955,0.098991255,0.068280347,0.041628941,0.049097211,0.077143989,0.058962963,0.08451934,0.114645427,0.095172855,0.090916863,0.095381883,0.138071895,0.214431398,0.176209802,0.123603775,0.159659501,0.165187823,0.278286512,0.266587443,0.305530864,0.3383393,0.361562179,0.361967393,0.282239795,0.353493191,0.35646592,0.229369936,0.238519564,0.308792969,0.284343389,0.311281463
Kentucky,KY,0.071319253,0.086258884,0.09173877,0.073575454,0.095267052,0.082293523,0.092476223,0.10747733,0.136235354,0.100042248,0.102880658,0.116495382,0.06588034,0.040583927,0.091725334,0.10068921,0.107739718,0.184095178,0.126786257,0.112200436,0.115828804,0.084138546,0.213290003,0.291170258,0.224153859,0.212501626,0.293222514,0.270743453,0.034180186,0.042537153,0.041246889,0.04091004,0.053004966,0.039908893,0.042034647,0.038427234,0.098178397,0.041656105,0.039556563,0.097112007,0.058668948,0.102989867
