name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Alabama,AL,5.8,6.5,7.9,9.9,13.5,9.4,8.8,16.9,31,21.2,25.9,34.9,24.6,14.7,,548.7,611.4,495.9,699.3,706.7,748.2,679.5,817,"1,105.40","1,008.80","1,104.20","1,427.00","1,430.60","1,562.00"
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.2,21.2,18.6,10.2,10.3,11.6,11.4,12.5,14.8,13.6,14.7,15.7,16.5,18.1
Arizona,AZ,3.3,3.1,2.8,2.3,2.4,1.9,2.1,2.9,3.9,2.6,4.1,7.3,5.6,4,,481,463.8,506.8,554.4,642.9,672.4,726.6,874.9,"1,114.90",861.6,"1,094.10","1,540.70","1,320.40","1,484.80"
Arkansas,AR,10.1,13.9,18.1,24.5,30.7,18,19,57.6,88.9,48.5,45.6,69.5,78,77.3,,"1,327.50","1,376.90","1,360.00","1,883.50","1,929.80","1,947.50","2,068.60","2,654.70","3,399.70","2,926.00","3,121.20","3,595.70","4,100.10","4,040.80"
California,CA,17.5,16.6,15.7,12.7,14.7,10.8,11.6,23.1,39.2,25.4,28.8,34.6,23.3,16.2,,"6,982.70","7,225.90","7,269.50","7,859.00","8,665.30","9,582.50","10,117.30","11,430.80","12,353.80","11,715.90","13,656.90","16,291.20","17,461.70","19,479.60"
Colorado,CO,82.4,80.6,77.7,60.9,72.8,72.9,92,103.1,140.9,97.4,131.1,183.2,123.2,69.1,,911.3,943.8,944.5,896.3,771,850,"1,000.20","1,338.10","1,589.80","1,291.70","1,587.80","1,937.00","1,816.80","1,795.00"
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,163.6,159.4,154.9,151.5,162.4,172.4,178,211.9,274.8,257.9,284.2,305.2,325.3,364.1
Delaware,DE,9.9,11.5,8.6,8.9,12.4,9.5,13.3,15.4,19.7,14.6,18.4,26.9,18.8,9.6,,135.8,151.5,122.1,127.8,139.1,146,142.6,187.2,241,235,241.4,283.1,320.1,303.4
Florida,FL,1.2,1,1.5,1.6,1.7,1.1,1.6,2.3,3.5,2.6,2.3,3.5,3.4,3,,"2,124.40","2,112.00","2,017.90","2,108.00","2,086.40","2,343.60","2,574.70","2,923.70","3,380.00","3,149.50","3,442.70","4,028.20","4,061.30","4,351.70"
Georgia,GA,13.4,12.9,15.8,16.8,21.4,12.4,15.1,45.5,51.3,38.3,38.7,57.8,48.7,42.8,,967.1,974.1,824,"1,059.00","1,218.30","1,235.40","1,273.10","1,600.40","2,011.50","1,768.70","2,203.60","2,857.40","2,664.50","2,966.80"
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,164.7,170.9,168.2,175.9,183.1,202.6,217,241.7,345,364.2,417.1,462,475.8,519.1
Idaho,ID,4.6,4.3,3.4,3.5,5.2,5.2,5.9,10.1,17.7,9.9,14.1,24,19.6,14.4,,786.6,798.1,821.4,778.7,834.8,879.2,998,"1,315.50","1,641.00","1,302.00","1,620.00","2,244.00","2,179.80","2,590.00"
Illinois,IL,780.9,831.1,870.6,847.6,"1,009.20",917.8,"1,188.90","1,762.40","2,326.40","1,476.40","1,643.60","2,228.50","1,433.90",802.8,,"3,102.30","3,341.00","3,403.80","3,695.40","3,794.60","3,611.30","4,202.30","5,589.10","7,788.60","6,536.90","7,723.00","8,466.90","8,515.30","7,925.10"
Indiana,IN,374.4,454.3,397.3,350.7,494,384.7,563.6,818.7,"1,094.20",670.7,736.9,"1,123.20",637.4,409.6,,"1,718.60","1,986.20","1,799.80","1,938.80","2,136.70","1,964.90","2,379.60","3,160.10","4,435.50","3,823.80","4,267.90","4,928.20","4,990.20","4,780.40"
Iowa,IA,776.1,760.9,972.1,936.8,"1,067.90",920,"1,345.80","1,763.50","2,552.30","1,686.10","1,753.50","2,529.80","1,731.80","1,116.50",,"3,410.30","3,557.10","4,018.00","4,142.50","4,225.70","4,408.90","5,243.10","6,879.10","9,667.60","8,296.20","9,374.10","10,959.20","11,373.30","10,191.30"
Kansas,KS,231.8,196.1,200.4,164.6,200.4,194.8,279,379.5,467,344.3,496.8,457.3,302.4,206.9,,"1,932.90","2,019.60","2,025.00","2,290.60","1,946.00","2,189.70","2,339.50","3,378.00","4,284.00","3,628.20","4,533.80","4,619.60","4,428.80","4,970.10"
Kentucky,KY,69.9,80.1,77.4,70.5,94,83.1,108.9,144.6,159.3,118.4,122.5,179.1,107.8,80.9,,980.1,928.6,843.7,958.2,986.7,"1,009.80","1,177.60","1,345.40","1,169.30","1,183.50","1,190.70","1,537.40","1,636.30","1,993.40"
Louisiana,LA,21.8,24.9,38.6,37.6,37.2,22.8,26.1,91.9,93.5,56.6,66.2,91.4,73.9,64.2,,660.4,655.7,638.4,833.8,842.3,822.3,866.1,"1,181.40","1,475.30","1,364.20","1,716.80","2,008.20","2,122.80","2,345.20"
