name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Alabama,AL,6.4,5.9,4.5,5.5,7.1,4.4,5.7,11.4,59,19.1,14.3,70,36.5,91.7,,548.7,611.4,495.9,699.3,706.7,748.2,679.5,817,"1,105.40","1,008.80","1,104.20","1,427.00","1,430.60","1,562.00"
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.2,21.2,18.6,10.2,10.3,11.6,11.4,12.5,14.8,13.6,14.7,15.7,16.5,18.1
Arizona,AZ,12.5,14.4,17.6,23.5,26.9,16.2,17.1,31,88.1,43.4,25.9,48.7,45.8,47.3,,481,463.8,506.8,554.4,642.9,672.4,726.6,874.9,"1,114.90",861.6,"1,094.10","1,540.70","1,320.40","1,484.80"
Arkansas,AR,81.4,73.8,67.4,54.9,77.1,19.7,35.9,93.9,220.4,40.6,20.8,114.5,106.4,187.3,,"1,327.50","1,376.90","1,360.00","1,883.50","1,929.80","1,947.50","2,068.60","2,654.70","3,399.70","2,926.00","3,121.20","3,595.70","4,100.10","4,040.80"
California,CA,47.3,54.9,79.6,63.1,105,51.4,65.6,117.8,223.7,113.9,115.7,249.3,144.9,199.3,,"6,982.70","7,225.90","7,269.50","7,859.00","8,665.30","9,582.50","10,117.30","11,430.80","12,353.80","11,715.90","13,656.90","16,291.20","17,461.70","19,479.60"
Colorado,CO,119.8,108.4,109.4,122.2,119.2,114.2,100.6,331.1,309.8,206.3,299.4,400.5,282.6,236.1,,911.3,943.8,944.5,896.3,771,850,"1,000.20","1,338.10","1,589.80","1,291.70","1,587.80","1,937.00","1,816.80","1,795.00"
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,163.6,159.4,154.9,151.5,162.4,172.4,178,211.9,274.8,257.9,284.2,305.2,325.3,364.1
Delaware,DE,4.7,5.7,7.6,3.5,5.9,6.1,6.6,15,25.1,6.9,8.3,22.9,20.1,24.8,,135.8,151.5,122.1,127.8,139.1,146,142.6,187.2,241,235,241.4,283.1,320.1,303.4
Florida,FL,0.6,0.5,0.4,0.7,1.5,0.8,0.5,1.2,2.9,1.1,0.8,1.8,1.8,4.4,,"2,124.40","2,112.00","2,017.90","2,108.00","2,086.40","2,343.60","2,574.70","2,923.70","3,380.00","3,149.50","3,442.70","4,028.20","4,061.30","4,351.70"
Georgia,GA,14.4,17.6,14.2,19.1,21.2,13.9,12.4,33.9,92.6,20.9,12.6,65.4,40.1,98.5,,967.1,974.1,824,"1,059.00","1,218.30","1,235.40","1,273.10","1,600.40","2,011.50","1,768.70","2,203.60","2,857.40","2,664.50","2,966.80"
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,164.7,170.9,168.2,175.9,183.1,202.6,217,241.7,345,364.2,417.1,462,475.8,519.1
Idaho,ID,176.1,159.4,187.7,150.6,237.7,208.9,201.2,354.9,400.5,257.5,340.6,568.2,416.7,503,,786.6,798.1,821.4,778.7,834.8,879.2,998,"1,315.50","1,641.00","1,302.00","1,620.00","2,244.00","2,179.80","2,590.00"
Illinois,IL,79.9,61.4,69.4,90.1,121.2,72.1,130.6,179.1,272.6,109.3,59.9,223.8,121.6,284.1,,"3,102.30","3,341.00","3,403.80","3,695.40","3,794.60","3,611.30","4,202.30","5,589.10","7,788.60","6,536.90","7,723.00","8,466.90","8,515.30","7,925.10"
Indiana,IN,40.9,41.9,31.1,48.1,64,53.2,46.9,90.7,126.4,71.8,50.1,114,76.2,133.2,,"1,718.60","1,986.20","1,799.80","1,938.80","2,136.70","1,964.90","2,379.60","3,160.10","4,435.50","3,823.80","4,267.90","4,928.20","4,990.20","4,780.40"
Iowa,IA,1.3,1.6,1.8,2.2,3.2,1.7,2.5,4.4,5.7,2,1.6,3.1,2.1,3.7,,"3,410.30","3,557.10","4,018.00","4,142.50","4,225.70","4,408.90","5,243.10","6,879.10","9,667.60","8,296.20","9,374.10","10,959.20","11,373.30","10,191.30"
Kansas,KS,537.9,538.4,618.7,775,703.6,792.6,660.3,"1,194.10","1,527.10",832.2,"1,081.40","1,426.50","1,259.30","1,547.10",,"1,932.90","2,019.60","2,025.00","2,290.60","1,946.00","2,189.70","2,339.50","3,378.00","4,284.00","3,628.20","4,533.80","4,619.60","4,428.80","4,970.10"
Kentucky,KY,33.5,39.5,34.8,39.2,52.3,40.3,49.5,51.7,114.8,49.3,47.1,149.3,96,205.3,,980.1,928.6,843.7,958.2,986.7,"1,009.80","1,177.60","1,345.40","1,169.30","1,183.50","1,190.70","1,537.40","1,636.30","1,993.40"
Louisiana,LA,13.8,14.2,16.4,11.6,20.8,9.9,12.3,42.3,83.6,23.4,16.5,78.7,45.8,74.4,,660.4,655.7,638.4,833.8,842.3,822.3,866.1,"1,181.40","1,475.30","1,364.20","1,716.80","2,008.20","2,122.80","2,345.20"
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,151.9,152.4,129.7,128.1,130.2,138.7,157.4,180.4,202.1,188.7,247.6,291.4,303,317.2
Maryland,MD,13.8,17.5,21.8,10.1,20,16.6,19.3,41.3,55.9,17.2,24.2,55.8,52.2,85.4,,373.9,394.2,344.4,316.9,346.3,339.5,364.9,452.5,619,604.8,638.4,727.7,833.2,807.9
Massachussetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,125,119.5,123.1,126,134.1,134.2,158.8,187.5,292.6,225.7,236.4,269.1,260.7,263.5
Michigan,MI,45.9,62,57.5,80.6,84,72.2,84.8,136.3,173.6,80.7,125.6,247,164.1,205.2,,998.2,"1,050.50","1,072.00","1,154.70","1,234.80","1,241.40","1,552.00","1,919.60","2,490.70","2,123.30","2,647.00","3,240.00","3,250.40","3,532.50"
Minnesota,MN,143.6,157.7,167.2,161.6,227.6,173.5,182.1,320.5,510.8,228,273.3,538.1,271.1,377.2,,"2,263.50","2,286.00","2,620.80","2,840.10","2,762.70","2,845.50","3,560.10","4,590.90","6,475.20","5,340.00","6,607.80","7,156.90","8,424.70","7,978.40"
Mississippi,MS,17.9,20.1,14.1,11.9,18.5,7.1,9.4,61.5,114.1,22.4,13.5,102.2,61.6,108.2,,756.4,857.2,798.1,"1,148.30","1,185.90","1,119.00","1,131.10","1,477.20","1,911.70","1,531.30","1,776.20","2,173.10","2,526.60","2,337.70"
Missouri,MO,74.9,60.9,65.1,82.5,117.6,66.6,92.1,143,189,84.2,44,161.7,125.4,268.5,,"1,399.20","1,495.00","1,363.00","1,755.30","1,826.20","1,670.30","1,919.20","2,632.70","3,534.00","3,208.00","3,524.50","3,906.10","3,934.50","4,053.40"
Montana,MT,256.3,210.7,258.2,252.6,420.4,385.7,401.4,650.6,781.8,472.2,646.6,"1,198.10",739.5,961.2,,516.6,475.1,515.6,534.3,640.2,651.5,681.8,969.7,"1,214.30",871.5,"1,154.70","1,782.20","1,325.70","1,673.10"
Nebraska,NE,108.5,91.1,125.3,130.6,142.9,139.1,146.2,347.2,335.8,177.2,198.4,292.3,252.5,200.1,,"2,229.60","2,414.70","2,436.50","2,780.00","2,346.50","2,468.70","3,016.40","4,135.00","5,426.70","4,847.20","5,568.90","6,927.70","6,604.80","6,620.30"
Nevada,NV,2.1,1.2,0.8,1,2,1.8,2.2,5.2,5.5,2.3,2.1,5.4,4.2,6.2,,74.5,78,64,66.2,61.8,70.2,86.5,99,124.1,106.1,120.1,158.7,168.9,183.9
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.8,40.8,39.2,43.2,45.3,45.1,50.7,61.5,85.4,74.8,78.7,83.3,83.8,94.8
New Jersey,NJ,2.2,2.1,3.4,2.1,2.6,2.1,2.9,5.5,9.3,3.1,3,6.7,4.3,7.2,,294.3,295.5,296.4,311.5,314,339.4,394.7,460.3,486.4,451.6,481.5,548.7,580.3,638.4
New Mexico,NM,7.6,12.4,9.5,8.1,18.9,19.9,11.5,30.3,25.3,7.8,19.6,13.9,9.6,19.4,,314,324.1,288,311.8,311.6,351.5,385.7,494.3,559.5,467.8,664.9,783.2,710.3,807.7
